"visual_id","tipo_visual","file_name","extension","relativo","origen","destino","bytes","sha256","content_status","duplicate_count","quality_tag","template_candidate","import_status"
"rfvis_0128","cctv_coverage_map","CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__ground_source.png",".png","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__ground_source.png","2283118","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","DUPLICATE_CONTENT","14","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0129","cctv_coverage_map","CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__ground.jpg",".jpg","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__ground.jpg","377543","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","DUPLICATE_CONTENT","14","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0130","cctv_coverage_map","CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__scene.json",".json","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__scene.json","574","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","DUPLICATE_CONTENT","16","OK_DATA_SOURCE","True","COPIED"
"rfvis_0131","cctv_coverage_map","Nueva carpeta (3)__CCTV__c95a38fb-4622-46f4-a1b6-cdbaf40e1ee2.png",".png","Nueva carpeta (3)\CCTV\c95a38fb-4622-46f4-a1b6-cdbaf40e1ee2.png","G:\Nueva carpeta (3)\CCTV\c95a38fb-4622-46f4-a1b6-cdbaf40e1ee2.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__c95a38fb-4622-46f4-a1b6-cdbaf40e1ee2.png","1002927","3BA7A1E0B3273EA9D1D7C70C96BE739A28A22529FABC024FEC42A365C6805002","DUPLICATE_CONTENT","2","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0132","cctv_coverage_map","Nueva carpeta (3)__CCTV__CCTV_Layout_PENDIENTE.xlsx",".xlsx","Nueva carpeta (3)\CCTV\CCTV_Layout_PENDIENTE.xlsx","G:\Nueva carpeta (3)\CCTV\CCTV_Layout_PENDIENTE.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__CCTV_Layout_PENDIENTE.xlsx","6093","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","DUPLICATE_CONTENT","13","OK_DATA_SOURCE","True","COPIED"
"rfvis_0133","cctv_coverage_map","Nueva carpeta (3)__CCTV__CCTV_Proyecto.xlsx",".xlsx","Nueva carpeta (3)\CCTV\CCTV_Proyecto.xlsx","G:\Nueva carpeta (3)\CCTV\CCTV_Proyecto.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__CCTV_Proyecto.xlsx","6431","BAE19925C35B27CFE47BCD95FC7E5BCA367320D167A97E0FDB2C7F3764AFB8BD","DUPLICATE_CONTENT","2","OK_DATA_SOURCE","True","COPIED"
"rfvis_0134","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_14_28 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_14_28 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_14_28 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_14_28 a.m..png","1024026","22167B233E3996630F239E94056B30906B29E7AA58045EFD455C039C5F33F99E","DUPLICATE_CONTENT","4","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0135","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_38_17 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_38_17 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_38_17 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_38_17 a.m..png","1024026","22167B233E3996630F239E94056B30906B29E7AA58045EFD455C039C5F33F99E","DUPLICATE_CONTENT","4","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0136","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_39_16 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_39_16 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 02_39_16 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 02_39_16 a.m..png","901848","B050553126379213275B42F5135B1E0F9137E9B925467370F6D3801D204D7DB8","DUPLICATE_CONTENT","4","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0137","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_05_12 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_05_12 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_05_12 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_05_12 a.m..png","2753486","64E5F16099A982ABC77DC9B158D9FFBA482AC787F7187F689F6CEDA50BEC3CCB","DUPLICATE_CONTENT","2","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0138","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_06_34 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_06_34 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_06_34 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_06_34 a.m..png","901848","B050553126379213275B42F5135B1E0F9137E9B925467370F6D3801D204D7DB8","DUPLICATE_CONTENT","4","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0139","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_36_48 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_36_48 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_36_48 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_36_48 a.m..png","1301873","86CF46B1747DC8837832359DAB88A91743D9CA63034B3380C1CC733784DFFEAE","DUPLICATE_CONTENT","2","OK_VISUAL_REFERENCE","True","COPIED"
"rfvis_0140","cctv_coverage_map","Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_53_42 a.m..png",".png","Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_53_42 a.m..png","G:\Nueva carpeta (3)\CCTV\ChatGPT Image 6 ene 2026, 04_53_42 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\Nueva carpeta (3)__CCTV__ChatGPT Image 6 ene 2026, 04_53_42 a.m..png","1516928","6757E25E2BD0DF2FF1E5BDB31DE82872992711C99547EFEB283A54650E4821A0","DUPLICATE_CONTENT","2","OK_VISUAL_REFERENCE","True","COPIED"
