"DryRun","SourceExists","TipoVisual","Nombre","Relativo","RutaOrigen","DestinoPrevisto","Extension","TamanoPlanBytes","TamanoRealBytes","LastWrite","Riesgo","Motivo"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 9 ene 2026, 01_04_33 a.m..png","CCTV\ChatGPT Image 9 ene 2026, 01_04_33 a.m..png","G:\CCTV\ChatGPT Image 9 ene 2026, 01_04_33 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__ChatGPT Image 9 ene 2026, 01_04_33 a.m..png",".png","2520837","2520837","2026-01-09T01:04:37.0951886-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","e.png","CCTV\e.png","G:\CCTV\e.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__e.png",".png","2164862","2164862","2026-01-06T02:10:28.9432854-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_7aox5f7aox5f7aox.png","CCTV\Gemini_Generated_Image_7aox5f7aox5f7aox.png","G:\CCTV\Gemini_Generated_Image_7aox5f7aox5f7aox.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_7aox5f7aox5f7aox.png",".png","2108179","2108179","2026-01-06T02:08:04.9410636-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_b5lbxqb5lbxqb5lb.png","CCTV\Gemini_Generated_Image_b5lbxqb5lbxqb5lb.png","G:\CCTV\Gemini_Generated_Image_b5lbxqb5lbxqb5lb.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_b5lbxqb5lbxqb5lb.png",".png","7419475","7419475","2026-01-06T01:59:38.4750926-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_cbt5yxcbt5yxcbt5.png","CCTV\Gemini_Generated_Image_cbt5yxcbt5yxcbt5.png","G:\CCTV\Gemini_Generated_Image_cbt5yxcbt5yxcbt5.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_cbt5yxcbt5yxcbt5.png",".png","7155431","7155431","2026-01-06T02:03:53.3030650-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_fegvwofegvwofegv.png","CCTV\Gemini_Generated_Image_fegvwofegvwofegv.png","G:\CCTV\Gemini_Generated_Image_fegvwofegvwofegv.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_fegvwofegvwofegv.png",".png","2240052","2240052","2026-01-06T02:12:42.3258652-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_pgwmeopgwmeopgwm.png","CCTV\Gemini_Generated_Image_pgwmeopgwmeopgwm.png","G:\CCTV\Gemini_Generated_Image_pgwmeopgwmeopgwm.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_pgwmeopgwmeopgwm.png",".png","5783651","5783651","2026-01-06T01:55:33.4233232-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_x8c6ggx8c6ggx8c6.png","CCTV\Gemini_Generated_Image_x8c6ggx8c6ggx8c6.png","G:\CCTV\Gemini_Generated_Image_x8c6ggx8c6ggx8c6.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__Gemini_Generated_Image_x8c6ggx8c6ggx8c6.png",".png","6618730","6618730","2026-01-06T02:50:05.6721359-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","OFI.png","CCTV\OFI.png","G:\CCTV\OFI.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFI.png",".png","2657123","2657123","2026-01-09T01:01:10.3372032-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","unnamed (1).jpg","CCTV\unnamed (1).jpg","G:\CCTV\unnamed (1).jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__unnamed (1).jpg",".jpg","202244","202244","2026-01-06T04:18:29.9039477-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
