"Status","TipoVisual","Origen","Destino","Sha256Origen","Sha256Destino","BytesDestino","Relativo"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v13\camera_plan_source.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v13__camera_plan_source.xlsx","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","6093","CCTV\VISOR_TGL_ULTIMO_v13\camera_plan_source.xlsx"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v13\camera_plan.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v13__camera_plan.json","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","10011","CCTV\VISOR_TGL_ULTIMO_v13\camera_plan.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v13\ground_source.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v13__ground_source.png","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","2283118","CCTV\VISOR_TGL_ULTIMO_v13\ground_source.png"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v13\ground.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v13__ground.jpg","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","377543","CCTV\VISOR_TGL_ULTIMO_v13\ground.jpg"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v13\scene.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v13__scene.json","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","574","CCTV\VISOR_TGL_ULTIMO_v13\scene.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v14_MOBILE__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan_source.xlsx","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","6093","CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v14_MOBILE__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan.json","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","10011","CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v14_MOBILE__VISOR_TGL_ULTIMO_v14_MOBILE__ground_source.png","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","2283118","CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v14_MOBILE__VISOR_TGL_ULTIMO_v14_MOBILE__ground.jpg","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","377543","CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v14_MOBILE__VISOR_TGL_ULTIMO_v14_MOBILE__scene.json","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","574","CCTV\VISOR_TGL_ULTIMO_v14_MOBILE\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan_source.xlsx","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","6093","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan.json","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","10011","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX__VISOR_TGL_ULTIMO_v14_MOBILE__ground_source.png","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","B293205890E43A85ADABD1FF04992D9D342BEB7D35F6097E302F9D9AAC0FAE30","2283118","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\ground_source.png"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX__VISOR_TGL_ULTIMO_v14_MOBILE__ground.jpg","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","9B468C82D907FD03444F86B0443C8412912409666E58E160B687834C41C1CF55","377543","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\ground.jpg"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX__VISOR_TGL_ULTIMO_v14_MOBILE__scene.json","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","9C259E34E6A0607DDB0BC80F9492B29E1E5CF1A2AE2321F2A96886279BA2B75A","574","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX\VISOR_TGL_ULTIMO_v14_MOBILE\scene.json"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan_source.xlsx","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","47F24119FF18D66629B41E4188D4137DDF601C66C6F606CD0077486645827A8B","6093","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan_source.xlsx"
"COPIED","cctv_coverage_map","G:\CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)__VISOR_TGL_ULTIMO_v14_MOBILE__camera_plan.json","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","3D1352A0CDFA918AD6EA58B24F0C4E4FFBEE4BCBA196E48D6C45F6805AB96879","10011","CCTV\VISOR_TGL_ULTIMO_v15_MOBILE_STYLE_AUTOSAVE_FIX (1)\VISOR_TGL_ULTIMO_v14_MOBILE\camera_plan.json"
