"file_id","zip_path","file_name","extension","size_bytes","compressed_bytes","category","sha256","last_write"
"visres_0035","META/LAYOUTS/ac9b8d96-5140-482e-9a82-2383a002e448.png","ac9b8d96-5140-482e-9a82-2383a002e448.png",".png","5866603","5864563","architectural_site_layout","52FDF1472F59EDFC98C3ABFCCD528F8111C5EDAEF9AAA285A6CF37623E4C514E","2026-05-27T06:18:54.0000000-06:00"
"visres_0036","META/LAYOUTS/afuera de oficinas.png","afuera de oficinas.png",".png","5869097","5864833","architectural_site_layout","8DF24EF2DF4EC8A7D4815EFE51ABBB6EE2692C2F734333AE6A56DF5EB2F70E6F","2026-05-27T06:18:58.0000000-06:00"
"visres_0037","META/LAYOUTS/B218DE9D-9C78-41D6-8F57-A54FEA2D370F.jpeg","B218DE9D-9C78-41D6-8F57-A54FEA2D370F.jpeg",".jpeg","603270","599987","architectural_site_layout","1C11CB034246323C44D4E3ED32D625E5BBB3C1D3F59B07D0FF9B7E7C102C3DEB","2026-05-27T06:11:30.0000000-06:00"
"visres_0038","META/LAYOUTS/B78D7B45-CF34-468D-812F-435798417BD8.jpeg","B78D7B45-CF34-468D-812F-435798417BD8.jpeg",".jpeg","427034","425906","architectural_site_layout","4600C8526FBDB73D657068EAC9CC308C73E3524EDF3F2D86A92E679560E56838","2026-05-27T06:10:40.0000000-06:00"
"visres_0039","META/LAYOUTS/by.png","by.png",".png","6852544","6847418","architectural_site_layout","E120103B448865E2B090F1D768AB3A5D89FAE9BEB3DDFE905B99DA69FF00EF65","2026-05-27T06:19:00.0000000-06:00"
"visres_0040","META/LAYOUTS/ChatGPT Image 19 feb 2026, 08_53_54 a.m.png","ChatGPT Image 19 feb 2026, 08_53_54 a.m.png",".png","5716364","5715537","architectural_site_layout","7EAD77E7A64126E3D5EC305446651B9D7886A10996E3C8522E41E6C16D69BA18","2026-05-27T06:18:52.0000000-06:00"
"visres_0041","META/LAYOUTS/F5D70057-3617-41D0-8A73-748D48BAADCC.jpeg","F5D70057-3617-41D0-8A73-748D48BAADCC.jpeg",".jpeg","619443","618509","architectural_site_layout","05DA293A6D9CED4B66556604253B18A8EABC6435ED40AF225AA01C2228F29024","2026-05-27T06:10:12.0000000-06:00"
"visres_0042","META/LAYOUTS/Gemini_Generated_Image_ (1).png","Gemini_Generated_Image_ (1).png",".png","1052217","890338","architectural_site_layout","AEB3E099012F550F135D398073DFAD5DC16D9571A371447F3F71923AD097B054","2026-05-27T06:28:30.0000000-06:00"
"visres_0043","META/LAYOUTS/Gemini_Generated_Image_ (10).png","Gemini_Generated_Image_ (10).png",".png","1847467","1807242","architectural_site_layout","75A43F8347C0D7B2BEE05E3537D3A7D5AC508DA2031DB54BA7C9B8F2FE87FD4D","2026-05-27T06:30:04.0000000-06:00"
"visres_0044","META/LAYOUTS/Gemini_Generated_Image_ (11).png","Gemini_Generated_Image_ (11).png",".png","2681616","2560450","architectural_site_layout","322C29E951C15C827CFAFEFBE7BB039DB223B0B34AF924B3309816B9B70CBA65","2026-05-27T06:30:14.0000000-06:00"
"visres_0045","META/LAYOUTS/Gemini_Generated_Image_ (12).png","Gemini_Generated_Image_ (12).png",".png","2123632","2019906","architectural_site_layout","519307CB4D7B35903C51AFF230F4ACF91B1BE970334A36E038A4335B14555A81","2026-05-27T06:30:34.0000000-06:00"
"visres_0046","META/LAYOUTS/Gemini_Generated_Image_ (13).png","Gemini_Generated_Image_ (13).png",".png","2108179","2035742","architectural_site_layout","A2AA7D37ECD359C2D82205042A4277DDC993C6E608187C02EFE72D67F8CBB33B","2026-05-27T06:30:48.0000000-06:00"
"visres_0047","META/LAYOUTS/Gemini_Generated_Image_ (14).png","Gemini_Generated_Image_ (14).png",".png","2304059","2195229","architectural_site_layout","8AFB61D0212DD4ECC380F3B36FB464F1DF38961FCC6CC543AF1E9F8262E4F168","2026-05-27T06:31:10.0000000-06:00"
"visres_0048","META/LAYOUTS/Gemini_Generated_Image_ (15).png","Gemini_Generated_Image_ (15).png",".png","1794948","1773131","architectural_site_layout","80039C1D1427BA56985FA472D401752781D1497124769A4FB636622EBA6F283E","2026-05-27T06:31:20.0000000-06:00"
"visres_0049","META/LAYOUTS/Gemini_Generated_Image_ (16).png","Gemini_Generated_Image_ (16).png",".png","1783581","1749067","architectural_site_layout","154A4790ED5E02C52F377D898B22BB9886037BB3C74BCE7E86DEB8E08968D54F","2026-05-27T06:31:38.0000000-06:00"
"visres_0050","META/LAYOUTS/Gemini_Generated_Image_ (2).png","Gemini_Generated_Image_ (2).png",".png","1121170","1010073","architectural_site_layout","8119E446BD77C0D862248DEDDF8CC000973C188FD5FB0CA6E55CE249CBAA6BA7","2026-05-27T06:28:40.0000000-06:00"
"visres_0051","META/LAYOUTS/Gemini_Generated_Image_ (3).png","Gemini_Generated_Image_ (3).png",".png","1435258","1142906","architectural_site_layout","9275AF61FDF56F7C2594A76C5A83E62FF0B45640F17B6A668EC5B292B22A5E30","2026-05-27T06:28:52.0000000-06:00"
"visres_0052","META/LAYOUTS/Gemini_Generated_Image_ (4).png","Gemini_Generated_Image_ (4).png",".png","1189668","991226","architectural_site_layout","2420BE00C0C53A8D8A154C4E35AA70423AB13C526CB3B2F7F5112C07A71743A7","2026-05-27T06:29:02.0000000-06:00"
"visres_0053","META/LAYOUTS/Gemini_Generated_Image_ (5).png","Gemini_Generated_Image_ (5).png",".png","1665905","1528948","architectural_site_layout","05C488515AB0CE18B8C331BC34356DC8F5F21326EAF8084F18695D2A7A604471","2026-05-27T06:27:50.0000000-06:00"
"visres_0054","META/LAYOUTS/Gemini_Generated_Image_ (9).png","Gemini_Generated_Image_ (9).png",".png","2533430","2406797","architectural_site_layout","A451F11140E33A03B3FBA16D8E5AF419AD02643D7AB0E7BC1E108A025891F0BE","2026-05-27T06:22:30.0000000-06:00"
"visres_0055","META/LAYOUTS/Gemini_Generated_Image_.png","Gemini_Generated_Image_.png",".png","1983876","1871775","architectural_site_layout","05A0735EDC0C2B5800E8168B84ADE2BA33624BBD2E2828A1A9ED65DA30FD59E9","2026-05-27T06:27:58.0000000-06:00"
"visres_0056","META/LAYOUTS/PHOTO-2026-02-21-00-43-56.jpg","PHOTO-2026-02-21-00-43-56.jpg",".jpg","73037","70741","architectural_site_layout","6C0D84E4F8C3713473AA44DF2AF0B3B071B3615AE3E4479AC0C5DF8A31E1DAA4","2026-05-27T06:12:22.0000000-06:00"
