"Nombre","Ruta","Existe","SizeMB","Sha256","ZipOk","EntryCount","CanArchive","Bloqueo","Decision","Prioridad","AccionFutura","Motivo","DestinoSugerido","ErrorZip"
"RUNEFOGE_PRO.zip","C:\RUNEFOGE_PRO\RUNEFOGE_PRO.zip","True","0.03","281014FFFE1BCA88113246BC37BBD862E9F3DEB1481F570B2B6E6F4483F3CF82","True","42","True","OK_PARA_ARCHIVE_DRYRUN","APTO_ARCHIVE_ZIP_TRIAGE","MEDIA","MOVER_A_ARCHIVE_ZIP_TRIAGE_EN_APPLY","ZIP legible, hash calculado, destino libre","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFOGE_PRO.zip",
"RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","True","0.047","ADA3AA788A318F26B59702492F93D3563C1B9D5517B001090899446AB2EDED19","True","63","True","OK_PARA_ARCHIVE_DRYRUN","APTO_ARCHIVE_ZIP_TRIAGE","MEDIA","MOVER_A_ARCHIVE_ZIP_TRIAGE_EN_APPLY","ZIP legible, hash calculado, destino libre","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip",
"RUNEFORGE_MASTER_FUSIONADO1.zip","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO1.zip","True","0.08","E42A5BE3DBB5274C34CCB0D456ED71DADBFC7BD8C7BE8121B0528369700C8F32","False","0","False","BLOQUEADO_ZIP_NO_LEIBLE","BLOQUEADO_ZIP_CORRUPTO_O_NO_LEIBLE","ALTA","NO_MOVER_COMO_ZIP_SANO_REVISAR_ORIGEN","ZIP no legible; requiere revisión manual o cuarentena separada","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO1.zip","Exception calling ""OpenRead"" with ""1"" argument(s): ""End of Central Directory record could not be found."""
"runeforge-mvp.zip","C:\RUNEFOGE_PRO\runeforge-mvp.zip","True","0.012","47D74CD1A8834D2AD3AB36EA7CD6A88A6E21823954812EBE19DE723EAF9A2191","True","37","True","OK_PARA_ARCHIVE_DRYRUN","APTO_ARCHIVE_ZIP_TRIAGE","MEDIA","MOVER_A_ARCHIVE_ZIP_TRIAGE_EN_APPLY","ZIP legible, hash calculado, destino libre","C:\RUNEFOGE_PRO\_archive\zip_triage\runeforge-mvp.zip",
